Entity,Code,Day,Training computation (petaFLOP),Domain,time
RoBERTa Large,,2019-07-01,8506700,Language,2019-07-01
RoseTTAFold All-Atom (RFAA),,2023-10-09,214000.02,Biology,2023-10-09
S4,,2021-10-31,78328.625,Language,2021-10-31
SAF R-CNN,,2015-10-28,12311.081,Vision,2015-10-28
SB-LM,,2007-06-22,1449.4465,Language,2007-06-22
SEER,,2021-07-29,18000000,Vision,2021-07-29
SNM-skip,,2014-12-03,297600,Language,2014-12-03
SOM-CNN,,1997-01-31,0.000031431602,Vision,1997-01-31
SPHINX (Llama 2 13B),,2023-11-13,30400000,Multiple domains,2023-11-13
SPIDER2,,2016-10-28,18.220001,Biology,2016-10-28
SPN-4+KN5,,2014-09-14,44,Language,2014-09-14
SPPNet,,2014-06-18,3411.072,Vision,2014-06-18
SRU++ Large,,2021-02-24,21173.705,Language,2021-02-24
ST-MoE,,2022-02-17,290000000,Language,2022-02-17
SVM-CNN,,2006-06-17,0.7452,Vision,2006-06-17
Samuel Neural Checkers,,1959-07-01,4.284e-7,Games,1959-07-01
Sandwich Transformer,,2019-11-10,23504.094,Language,2019-11-10
SciBERT,,2019-03-26,89268.48,Language,2019-03-26
Seed1.5-VL,,2025-05-11,1388556000,Multiple domains,2025-05-11
"Segatron-XL large, M=384 + HCP",,2022-03-21,26500,Language,2022-03-21
Segment Anything Model,,2023-04-05,7800000,Vision,2023-04-05
Seq2Seq LSTM,,2014-09-10,56000,Language,2014-09-10
SexNet compression,,1990-10-01,0.0000787752,Vision,1990-10-01
Siamese-TDNN,,1993-08-01,0.01286957,Vision,1993-08-01
SigLIP 400M,,2023-03-27,4946730.5,Vision,2023-03-27
Skywork-13B,,2023-10-30,250000000,Language,2023-10-30
SmooCT,,2014-07-01,69,Games,2014-07-01
Sparse all-MLP,,2022-04-14,532224,Language,2022-04-14
Speaker-independent vowel classification,,1989-11-27,0.000007485696,Speech,1989-11-27
Stable Diffusion (LDM-KL-8-G),,2022-04-13,50000000,Image generation,2022-04-13
Stable Diffusion 3,,2024-02-22,50000000,Image generation,2024-02-22
StarCoder,,2023-05-09,84600000,Language,2023-05-09
Student of Games,,2021-12-06,36679270,Games,2021-12-06
StyleGAN,,2018-12-12,39.3,Image generation,2018-12-12
StyleGAN3-R,,2021-06-21,2427840,Image generation,2021-06-21
StyleGAN3-T,,2021-06-21,1702080,Image generation,2021-06-21
Swift,,2023-08-30,53.37,Robotics,2023-08-30
Swin Transformer V2 (SwinV2-G),,2021-11-18,1100000,Multiple domains,2021-11-18
Switch,,2021-01-11,82200000,Language,2021-01-11
System 11,,1996-06-18,0.000025859617,Vision,1996-06-18
T5-11B,,2019-10-23,33000000,Language,2019-10-23
T5-3B,,2019-10-23,9000000,Language,2019-10-23
TA-CNN,,2014-11-29,10.854,Vision,2014-11-29
TC-DNN-BLSTM-DNN,,2015-04-06,194.10193,Speech,2015-04-06
TD-Gammon,,1992-05-01,0.018232157,Games,1992-05-01
TaLK Convolution,,2020-02-08,26990.346,Language,2020-02-08
Telechat2-115B,,2024-09-20,6900000300,Language,2024-09-20
Tensor-Transformer(1core)+PN (WT103),,2020-03-17,1580,Language,2020-03-17
Theseus,,1950-07-02,4e-14,Robotics,1950-07-02
